Year,City,YP_Section,Name,Address,Cuisine,
2016,Scarborough,Restaurants,abc bakery shop,3618 victoria park,,
2016,Scarborough,Restaurants,abdul hakim,62 overlea bl,,
2016,Scarborough,Restaurants,abi investments o/a vipei bistro,3101 kingston,,
2016,Scarborough,Restaurants,accents restaurant,955 bay,,
2016,Scarborough,Restaurants,ace's place bar grill hub,113 guildwood pkwy,,
2016,Scarborough,Restaurants,adam ribs,1602 queensway,,
2016,Scarborough,Restaurants,adega restaurant,33 elm st,,
2016,Scarborough,Restaurants,adel-pook ni butchkoy,1211 king w,,
2016,Scarborough,Restaurants,adi biryani & kebab house,462 birchmount,south asian,
2016,Scarborough,Restaurants,african and caribbean restaurant,2111 jane,,
2016,Scarborough,Restaurants,afican deligh,1180 bloor w,,
2016,Scarborough,Restaurants,african palace,977 bloor w,,
2016,Scarborough,Restaurants,afro continental bar,849 albion rd,,
2016,Scarborough,Restaurants,agi sai japanese restaurant,783 danforth av,,
2016,Scarborough,Restaurants,agra fine indian cuisine,4850 yongu,indian,
2016,Scarborough,Restaurants,agra fine indian cuisine,365 king,indian,
2016,Scarborough,Restaurants,ah-so sushi,16 brookers lave,,
2016,Scarborough,Restaurants,airport gat cafe & grill ,924 dixon,,
2016,Scarborough,Restaurants,aji sai japanese resaurant,467 QUEEN,,
2016,Scarborough,Restaurants,AJI SAI JAPENESE restaurant,813 yonge,,
2016,Scarborough,Restaurants,AJI SAI JAPENESE restaurant,637 yonge,,
2016,Scarborough,Restaurants,aji sai plus resto lounge,3241 yonge,,
2016,Scarborough,Restaurants,aji sushi,1325 finch,,
2016,Scarborough,Restaurants,ajisen ramen,50 silver star bl,,
2016,Scarborough,Restaurants,ajisen ramen,332 spadina,,
2016,Scarborough,Restaurants,ajisen ramen,5229 yonge,,
2016,Scarborough,Restaurants,akco lounge catering,100 king w,,
2016,Scarborough,Restaurants,aki da japanese seafood house,1911 queen e,,
2016,Scarborough,Restaurants,al baasit foods inc,2030 ellesmere,,
2016,Scarborough,Restaurants,Al Mac's Bar & Grill,2459 Kingston Rd,,
2016,Scarborough,Restaurants,al-meezan spicy grill,760 rexdale bl,ethnic,
2016,Scarborough,Restaurants,alan shish kebab house,856 sheppard w,ethnic,
2016,Scarborough,Restaurants,alba market garden restaurant,165 queensway,,
2016,Scarborough,Restaurants,alberto's trattoria sports bar,2560 finch av w,,
2016,Scarborough,Restaurants,albert's real jamaican food,542 st clair w,,
2016,Scarborough,Restaurants,alborz restaurant,5906 yonge,,
2016,Scarborough,Restaurants,alegno restaurant,4664 yonge,,
2016,Scarborough,Restaurants,ALEX AND LTDV,1960 BLOOOR W,,
2016,Scarborough,Restaurants,ALEXANDRIA FALAFEL,1233 QUeen w,,
2016,Scarborough,Restaurants,alexandros take-out,484 danforth av,,
2016,Scarborough,Restaurants,alexandros take out,5 queens quay,,
2016,Scarborough,Restaurants,ali baba middle east cuisine,715 queen w,,
2016,Scarborough,Restaurants,ali baba shawarma,1960 lawrence av e,,
2016,Scarborough,Restaurants,ali babas,113 danforth,,
2016,Scarborough,Restaurants,ali babas ,197 DUNDAS W,,
2016,Scarborough,Restaurants,ALI BABAS,8 JENET,,
2016,Scarborough,Restaurants,ALI BABAS mid-eastern,1283 bloor w,,
2016,Scarborough,Restaurants,ali baba's middle eastern cuisine,24 wellesley w,,
2016,Scarborough,Restaurants,ali baba's restaurant,1878 weston rd,,
2016,Scarborough,Restaurants,alibaba middle east cuisine,229 church,,
2016,Scarborough,Restaurants,alibabas resataurant,2246 bloor,,
2016,Scarborough,Restaurants,alibabas restaurant,1976 queen e,,
2016,Scarborough,Restaurants,alibabas restaurant,1430 queen w,,
2016,Scarborough,Restaurants,alice fazoolis italian grill,294 adelaide w,,
2016,Scarborough,Restaurants,alif grill authentic indian & pakistani cuisine,20 nugget ave,south asian,
2016,Scarborough,Restaurants,alio restaurant wine,108 dundas st w,,
2016,Scarborough,Restaurants,alize resturant & catering,2459 yonge,,
2016,Scarborough,Restaurants,all star bar and eatery,4170 Kingston Rd,,
2016,Scarborough,Restaurants,allen bar and grill,699 lawrence av w,,
2016,Scarborough,Restaurants,allen's restaurant on the danforth,143 danfroth av,,
2016,Scarborough,Restaurants,allstar wings and ribs,1235 mccowan,,
2016,Scarborough,Restaurants,almeisan inc,571 bloor w,,
2016,Scarborough,Restaurants,almonkal restaurant,2075 danforth ave,,
2016,Scarborough,Restaurants,alo restaurant,163 spadina,,
2016,Scarborough,Restaurants,alton chinese restaurant,250 alton towers cir,,
2016,Scarborough,Restaurants,ama sushi japanese restaurant,5516 lawrence av e,,
2016,Scarborough,Restaurants,amadeu restaurant,184 augusta av,,
2016,Scarborough,Restaurants,amaranto cafe inc,36 grovenest dr,,
2016,Scarborough,Restaurants,amarath holding,4242 dundas w,,
2016,Scarborough,Restaurants,amaya the indian room,1701 bayview av,indian,
2016,Scarborough,Restaurants,amber,119 yorkville av,,
2016,Scarborough,Restaurants,american fried chicken,3268 finch ave e,,
2016,Scarborough,Restaurants,amigos,6091 kingston,,
2016,Scarborough,Restaurants,amiin,272 parliament,,
2016,Scarborough,Restaurants,amman food,501 passmore,,
2016,Scarborough,Restaurants,amnesia bar & grill,526 bloor w,,
2016,Scarborough,Restaurants,amore trattoria,2425 yonge st,,
2016,Scarborough,Restaurants,ams pizza & wings ,162 main,,
2016,Scarborough,Restaurants,amsterdan brewing,245 queens quay,,
2016,Scarborough,Restaurants,amullet,4700 dufferin,,
2016,Scarborough,Restaurants,ananda bawan restaurant,5310 fince ave e,,
2016,Scarborough,Restaurants,anatolia restaurant & catering,5112 dundas st w,,
2016,Scarborough,Restaurants,anatolian's turkish restaurant,62 overlea,,
2016,Scarborough,Restaurants,andy's coffee shop,200 consumers rd,,
2016,Scarborough,Restaurants,angat cuisine,3260 lawrence e,,
2016,Scarborough,Restaurants,anjappar chettinad restaurant,3090 kingston rd,ethnic,
2016,Scarborough,Restaurants,annie's bar & grill,373 queen e,,
2016,Scarborough,Restaurants,annona restuarant,4 avenue rd,,
2016,Scarborough,Restaurants,anoush middle eastern cuisine,170 rimrock rd,,
2016,Scarborough,Restaurants,anoush restaurant,250 dundas w,,
2016,Scarborough,Restaurants,anthony's grill,1090 don mills,,
2016,Scarborough,Restaurants,anush shawarma falafel & kebob,330 front w,ethnic,
2016,Scarborough,Restaurants,apache burgers,5236 dundas w,,
2016,Scarborough,Restaurants,apkujung restaurant,6309 yonge,,
2016,Scarborough,Restaurants,aplus sushi and bibab,1345 queen w,,
2016,Scarborough,Restaurants,apollo 11 restaurant,1093 bathurst,,
2016,Scarborough,Restaurants,apple cafe,840 coxwell av,,
2016,Scarborough,Restaurants,aquarela restaurant,1363 wilson,,
2016,Scarborough,Restaurants,arabesque middle eaastern foods,1068 college,,
2016,Scarborough,Restaurants,aramark canada,325 milner av,,
2016,Scarborough,Restaurants,aramark canada ltd,105 the west mall,,
2016,Scarborough,Restaurants,aramark canada ltd,529 vaughan,,
2016,Scarborough,Restaurants,arepa cafe,38 camden,,
2016,Scarborough,Restaurants,arepa cafe,490 queen w,,
2016,Scarborough,Restaurants,argang kazemzadeh,147 spadina ave,,
2016,Scarborough,Restaurants,aria restaurant,25 york,,
2016,Scarborough,Restaurants,aris grill,369 roncesballes av,,
2016,Scarborough,Restaurants,aris place,229 roncesvalles,,
2016,Scarborough,Restaurants,aristides dos leitoes,1686 st clair av w,,
2016,Scarborough,Restaurants,aristotle & mcgregor's ,525 mount pleasant,,
2016,Scarborough,Restaurants,arizona b-bar & grill,215 carlingview dr,,
2016,Scarborough,Restaurants,aromas bistro,1553 dupont,,
2016,Scarborough,Restaurants,art house cafe,442 SPADINA AV,,
2016,Scarborough,Restaurants,artful dodger pub,12 ISABeLLA,,
2016,Scarborough,Restaurants,artisano bakery cafe ltd,1020 islington,,
2016,Scarborough,Restaurants,asa sushi,18 jane,,
2016,Scarborough,Restaurants,asahi sushi,640 churcj,,
2016,Scarborough,Restaurants,asia deligh,85 ellesmere dr,,
2016,Scarborough,Restaurants,asia garden restaurant,2648 islington,,
2016,Scarborough,Restaurants,asia bowl restaurant,271 yonge,,
2016,Scarborough,Restaurants,asian buffet,161 rexdale bl,,
2016,Scarborough,Restaurants,asian express,250 wincott dr,,
2016,Scarborough,Restaurants,asian food center,10 westmore dr,,
2016,Scarborough,Restaurants,asian fgroumet,399 bathhurst,,
2016,Scarborough,Restaurants,asian gourmet,1000 gerrard e,,
2016,Scarborough,Restaurants,asian groumet,6228 yonge,,
2016,Scarborough,Restaurants,asian legend,125 ravel,,
2016,Scarborough,Restaurants,asian legend,4452 sheppard e,,
2016,Scarborough,Restaurants,asian legend,5186 yonge,,
2016,Scarborough,Restaurants,asian legend inc,900 don mills,,
2016,Scarborough,Restaurants,asian treat,130 westmore dr,,
2016,Scarborough,Restaurants,aso rock restaurant & night club,1552 jane st,,
2016,Scarborough,Restaurants,asteria souvlakl place,292 danforth av,,
2016,Scarborough,Restaurants,asteria souvlakl place,679 danforth av,,
2016,Scarborough,Restaurants,asuka japanese restaurant,108 yorkbille,,
2016,Scarborough,Restaurants,athens restaurant,707 danforth ave,,
2016,Scarborough,Restaurants,atin ito,3526 bathurst,,
2016,Scarborough,Restaurants,atinito,3770 bathurst,,
2016,Scarborough,Restaurants,atlantis restaurant,1005 bloor,,
2016,Scarborough,Restaurants,atrium vafe,255 consumers,,
2016,Scarborough,Restaurants,auntibell jamician cusine,2257 islington,,
2016,Scarborough,Restaurants,aunties and uncles,72 lippincott st,,
2016,Scarborough,Restaurants,aura sushi,384 yonge,,
2016,Scarborough,Restaurants,authentic szechuan cuisine,,,
2016,Scarborough,Restaurants,avant gout restaurant,1108 yonge,,
2016,Scarborough,Restaurants,avenue cafe & bistro,490 university av,,
2016,Scarborough,Restaurants,avenue seafood,1751 avenue rd,,
2016,Scarborough,Restaurants,avli restaurant,401 danforth ave,,
2016,Scarborough,Restaurants,aza restauraunt,378 brown's line,,
2016,Scarborough,Restaurants,azarias ,3058 bloor w,,
