Year,City,YP_Section,Name,Address,Cuisine
1996,Markham,restaurants,neptune's cove steak & seafood house,bayview village,
1996,Markham,restaurants,now city rest,8392 kennedy,
1996,Markham,restaurants,nikiko japanese rest,885 progress,
1996,Markham,restaurants,north 44,2537 yonge,
1996,Markham,restaurants,ocean queen fish & chips,1 mintleaf gate,
1996,Markham,restaurants,old angelo's rest,45 elm,
1996,Markham,restaurants,old country inn ,198 main st,
1996,Markham,restaurants,old liverpool house the,1294 kingston rd,
1996,Markham,restaurants,old scott house the,520 progress,
1996,Markham,restaurants,olive garden itanian rest the,670 hwy 7 e,
1996,Markham,restaurants,1075330 ontario inc ,398 ferrier,
1996,Markham,restaurants,orientan indian rest,2783 danforth av,indian
1996,Markham,restaurants,p & j burger,8384 woodbine,
1996,Markham,restaurants,papagus greek taverna,7181 woodbine,
1996,Markham,restaurants,patty galore,9251 yonge,
1996,Markham,restaurants,peachtree chinese rest,8392 kenneyd,
1996,Markham,restaurants,peppino's pizza & more,5970 sixteenth,
1996,Markham,restaurants,peter's fine dining,5701 hwy 7,
1996,Markham,restaurants,pheonix noodle house,4350 steeles e,
1996,Markham,restaurants,phuket pearl thai cuisine rest,4390 steeles e,
1996,Markham,restaurants,pine apple inn 7 bakehouse the,149 main,
1996,Markham,restaurants,pizza hut,5071 hwy 7,
1996,Markham,restaurants,pizzedelic woodbine,10 esna park dr,
1996,Markham,restaurants,polly's kitchen,17 woottenway n,
1996,Markham,restaurants,ponte vecchio ristorante,10 newkirk,
1996,Markham,restaurants,purple rain karaoke rest,4392 steeles e,
1996,Markham,restaurants,raymerville chinese rest,1 raymerville dr,
1996,Markham,restaurants,red lobster,7291 yonge,
1996,Markham,restaurants,red lobster,1125 markham r,
1996,Markham,restaurants,red lobster,3252 sheppard ave e,
1996,Markham,restaurants,red rose garden tavern,5460 hwy 7,
1996,Markham,restaurants,remezzo italian bistro,3335 sheppard av e,
1996,Markham,restaurants,richmond court rest,8362 kennedy,
1996,Markham,restaurants,ringwood rest,5241 stouffville rd,
