Year,City,YP_Section,Name,Address,Cuisine
2001,Scarborough,Restaurants,Boston Steak House,4433 Sheppard Av E,
2001,Scarborough,Restaurants,Burger King,10 Eglinton Av E,
2001,Scarborough,Restaurants,Burger King,740 Ellesmere Rd,
2001,Scarborough,Restaurants,Burger King,415 Danforth Rd,
2001,Scarborough,Restaurants,By The Bluffs Dining & Catering,3081 Kingston Rd,
2001,Scarborough,Restaurants,C J's Donuts & Diner,590 Ellesmere Rd,
2001,Scarborough,Restaurants,CJ's Grill,1269 Danforth Rd,
2001,Scarborough,Restaurants,Cafe Locker,2425 Eglinton Av,
2001,Scarborough,Restaurants,Canadian Chicken Hut,3 579 Sheppard Av E,
2001,Scarborough,Restaurants,Canton Karoake Lounge,4810 Sheppard Av E,
2001,Scarborough,Restaurants,Caribbean Flavour Restaurant and Bar Inc,880 Ellesmere Rd,
2001,Scarborough,Restaurants,Chandra's Take Out Restaurant & Catering,201 Markham Rd,
2001,Scarborough,Restaurants,Channaman's Caribbean Corner,2480 Eglinton Av E,
2001,Scarborough,Restaurants,Chester Fried Chicken ,1160 Morningside Av,
2001,Scarborough,Restaurants,Casey's Bar & Grill,10 Lebovic Av,
2001,Scarborough,Restaurants,Central Restaurant,2845 Lawrence Av,
2001,Scarborough,Restaurants,Chicken & Noodles Chinese Restaurant,1 Glen Watford Dr,
2001,Scarborough,Restaurants,China Cottage Restaurant Inc,11 80 Ellesmere Rd,
2001,Scarborough,Restaurants,China Delights Take Out Chinese Food,2950 Kennedy Rd,
2001,Scarborough,Restaurants,China Express,8 Glen Watford Dr,
2001,Scarborough,Restaurants,Chinese Hut Resaurant,1876 Kennedy Rd,
2001,Scarborough,Restaurants,Chopstick Foods,3300 Danforth Av,
2001,Scarborough,Restaurants,Cho's Wok Restaurant,2500 Eglinton Av,
2001,Scarborough,Restaurants,Christina's Ristorante,492 Danforth Av,
2001,Scarborough,Restaurants,Congee King Restaurant,4271 Sheppard Av E,
2001,Scarborough,Restaurants,Corner Diner,670 Coronation Dr,
2001,Scarborough,Restaurants,Country Style Chicken & Pizza Halal,4865 Sheppard Av E,
2001,Scarborough,Restaurants,Crown & Cushion West Indian Takeout,31 Tapscott Rd,
2001,Scarborough,Restaurants,Cultures Fresh Food Restaurants,731 300 Borough Dr,
2001,Scarborough,Restaurants,D & R Wing's Restaurant,325 Bamburgh Cir,
2001,Scarborough,Restaurants,Daallo Restaurant,685 Kennedy Rd,
2001,Scarborough,Restaurants,Dick'N Jane Chicken & Shrimp,2131 Lawrence Av E,
2001,Scarborough,Restaurants,D'Iron Pot Caribbean Take-Out,2854 Ellesmere Rd,
2001,Scarborough,Restaurants,Darlyn's Restaurant,1154 Morningside Av,
2001,Scarborough,Restaurants,Daybreak Restaurant,4016 Finch Av E,
2001,Scarborough,Restaurants,Donuts & Fast Foods,3261 Kennedy Rd,
2001,Scarborough,Restaurants,Eagledance Restaurant,5005 Steeles Av E,
2001,Scarborough,Restaurants,East Court BBQ,25 Glen Watford Dr ,
2001,Scarborough,Restaurants,East Side Mario's,12 Lebovic Av,
2001,Scarborough,Restaurants,Eastown Restaurant & Banquet Halls,2648 Eglinton Av E,
2001,Scarborough,Restaurants,Echo Buffet Restaurant,3591 Sheppard Av E,
2001,Scarborough,Restaurants,Eden Resaurant,22 4186 Finch Av E,
2001,Scarborough,Restaurants,Elegant Chinese Cuisine,3833 Midland Av,
2001,Scarborough,Restaurants,Elegantview Chinese Restaurant,3601 Victoria Park Av,
2001,Scarborough,Restaurants,Ellas Restaurants Banquets & Catering,35 Danforth Rd,
2001,Scarborough,Restaurants,Enmore Restaurant,2528 Eglinton Av E,
2001,Scarborough,Restaurants,Excellent Cafe,3850 Finch Av E,
2001,Scarborough,Restaurants,Fantasy Eatery,3320 Midland Av,
2001,Scarborough,Restaurants,Farhat Restaurant,2020 Lawrence Av E,ethnic
2001,Scarborough,Restaurants,Fast Wagon West Indian Take Out,461 Pharmacy Av,
2001,Scarborough,Restaurants,Fishermans Paradise,7 Brimely Rd S Scrb,
2001,Scarborough,Restaurants,Flipper's Fish House,2300 Lawrence Av E,
2001,Scarborough,Restaurants,Fortune Stone Express,355 Bamburgh Circle,
2001,Scarborough,Restaurants,Fossil & Haggas Pub & Grub,790 Military Tr ,
2001,Scarborough,Restaurants,From Dusk'Til Dawn Cafe Lounge,1940 Eglinton Av E,
2001,Scarborough,Restaurants,Full House Congee & Noodle,4188 Finch Av E,
2001,Scarborough,Restaurants,G In Restaurant,4186 Finch Av,
2001,Scarborough,Restaurants,Gasa Restaurant,2950 Kennedy Rd,
2001,Scarborough,Restaurants,Gaumont Restaurant & Bar,3049 Kingston Rd,
2001,Scarborough,Restaurants,Gerhard's Cafe,1085 Bellamy Rd N,
2001,Scarborough,Restaurants,Gnanakuru Take Out Restaurant & Catering Inc,2800 Eglington Av E,
2001,Scarborough,Restaurants,Gold Ribbom Bakery Caf & Take-Out,3477 Kennedy Rd,
2001,Scarborough,Restaurants,Golden Good's Co Ltd,19 Miliken Blvd,
2001,Scarborough,Restaurants,Golden Griddle Family Restaurants,10 Milner Business Court,
2001,Scarborough,Restaurants,Golden Griddle Family Restaurants,3090 Eglinton Av E,
2001,Scarborough,Restaurants,Golden Seven Chinese Cuisine,3309 Sheppard Av E,
2001,Scarborough,Restaurants,Good Luck Chinese Restaurant,2432 Eglinton Av E,
2001,Scarborough,Restaurants,Goodins Noodle House,23 Glen Watford Dr,
2001,Scarborough,Restaurants,Goodness Sole Food,4045 Sheppard Av E ,
2001,Scarborough,Restaurants,Gramps & Elaine Roti Place Restaurant,3095 Eglinton Av E,
2001,Scarborough,Restaurants,Greek Odyssey ,1415 Kennedy Rd,
2001,Scarborough,Restaurants,Green Bamboo Restaurant,4219 Sheppard Av E,
2001,Scarborough,Restaurants,Green Island Cuisine,30 Dean Park Rd,
2001,Scarborough,Restaurants,Halal Pizza & Chicken,3160 Eglinton Av E,
2001,Scarborough,Restaurants,Halina,2950 Kennedy Rd Scrb,
2001,Scarborough,Restaurants,Han Kang Restaurant,3113 Sheppard Av E,
2001,Scarborough,Restaurants,Hanway Restaurant Equiptment Contracting,31 Melford Dr,
2001,Scarborough,Restaurants,Happy Wok,2301 Brimley Rd,
2001,Scarborough,Restaurants,Ho Ho BBQ ,3833 Midland Av,
2001,Scarborough,Restaurants,Home Burger ,1 Centrest Scrb,
2001,Scarborough,Restaurants,Hong Far HK Cafe,25 Glen Watford Dr,
2001,Scarborough,Restaurants,Hong Kong Express,1571 Sandhurst Cir,
2001,Scarborough,Restaurants,Hopper Hut,880 Ellesmere Rd,
2001,Scarborough,Restaurants,Hot Pot City Chinese Restaurant,3280 Midland Av,
2001,Scarborough,Restaurants,Huai Hai Restaurant,1883 McNicoll Av,
2001,Scarborough,Restaurants,Ichiban Fish Market,3517 Kennedy Rd,
2001,Scarborough,Restaurants,Inclined Restaurant,1375 Danforth Rd,
2001,Scarborough,Restaurants,Indie's Paradise,646 Danforth Rd,ethnic
2001,Scarborough,Restaurants,Indran Sweet,80 Nashdene,
2001,Scarborough,Restaurants,Ishiban Sushi House Japanese Restaurant,2301 Brimley Rd,
2001,Scarborough,Restaurants,Jack Astor's Bar and Grill,580 Progress Av,
2001,Scarborough,Restaurants,Jambo Restaurant,1939 Victoria Park Av,
2001,Scarborough,Restaurants,Jammie's Take-Out,3601 Lawrence Av E,
2001,Scarborough,Restaurants,Janatha Fine Foods,3255 Lawrence Av E,
2001,Scarborough,Restaurants,January's Restaurant & Tavern,678 Kennedy Rd,
2001,Scarborough,Restaurants,Jasmine Chinese Food Ltd,3850 Sheppard Av E,
2001,Scarborough,Restaurants,Jasmine Tea Chinese Food,1571 Sandhurst Circle,
2001,Scarborough,Restaurants,Jerk King Canada,4457 Kingston Rd,
2001,Scarborough,Restaurants,Joey Bravo's Italian Restaurant,4505 Sheppard Av E,
2001,Scarborough,Restaurants,Joey's Only Seafood Restaurant,65 Rylander Blvd,
2001,Scarborough,Restaurants,John Anderson Bar & Grill,561 Markham Rd,
2001,Scarborough,Restaurants,Johnny's Hamburgers,2595 Victoria Park Av,
2001,Scarborough,Restaurants,Johnny's Shawarma,1904 Kennedy Rd,
2001,Scarborough,Restaurants,Jolly Fast Food,4227 Sheppard Av E,
2001,Scarborough,Restaurants,Kally's Restaurants & Banquet Rooms,430 Nugget Av ,
2001,Scarborough,Restaurants,Ken Japanese Cuisine,4002 Sheppard Av E,
2001,Scarborough,Restaurants,Kiku Sushi Japanese Restaurant,209 Ellesmere Rd,
2001,Scarborough,Restaurants,Killerbees Bar & Grill,2800 Eglinton Av E,
2001,Scarborough,Restaurants,Kisoya Japanese Restaurant,9 Glen Watford Dr,
2001,Scarborough,Restaurants,Kitchen Corner,217 Morningside Av,
2001,Scarborough,Restaurants,La Petite Family Restaurant,223 Morrish Rd,
2001,Scarborough,Restaurants,Lara's Falafel,2555 Victoria Park Av,
2001,Scarborough,Restaurants,Libery Restaurant & Bar,2883 Lawrence Av E,
2001,Scarborough,Restaurants,Lighthouse Fish & Chips Restaurant,2577 Victoria Park Av,
2001,Scarborough,Restaurants,Little Bavaria Restaurant,3222 Eglinton Ave E,
2001,Scarborough,Restaurants,Lucky Lin's Restaurant Ince,226 Markham Rd,
2001,Scarborough,Restaurants,Made In Japan,133 Eglinton Sq,
2001,Scarborough,Restaurants,Made In Japan Teriyaki Experience,45 Milner Av,
2001,Scarborough,Restaurants,Mama's Falafel,1060 Kennedy Rd,
2001,Scarborough,Restaurants,Mandalay Restaurant,3478 Lawrence Av E,
2001,Scarborough,Restaurants,Mandarin Restaurant,2206 Eglinton Av E,
2001,Scarborough,Restaurants,Maple Garden,30 Dean Park Rd,
2001,Scarborough,Restaurants,Mr Greek Restaurants Inc,1957 Kennedy Rd,
2001,Scarborough,Restaurants,Miu Garden Restaurant,240 Alton Towers Cir,
2001,Scarborough,Restaurants,Montana's Cookhouse,41 Milner Av,
2001,Scarborough,Restaurants,Mummy House,25 Slan Av,
2001,Scarborough,Restaurants,Nasib's,1867 Lawrence Av E,ethnic
2001,Scarborough,Restaurants,New Classic Cantonese,355 Bamburgh Circle,
2001,Scarborough,Restaurants,New Seafood Chinese Restaurant,735 Middlefield Rd,
2001,Scarborough,Restaurants,New Sun BBQ Restaurant,3833 Midland Av,
2001,Scarborough,Restaurants,Newfoundlander Restaurant,472 Danforth Rd,
2001,Scarborough,Restaurants,Nicey's Take-Out,54a Morecambe Gate,
2001,Scarborough,Restaurants,Nick's Coffee Shop,2055 Kennedy Rd,
2001,Scarborough,Restaurants,Normans Gourmet Sandwich Shop,1921 Eglinton Ave E,
2001,Scarborough,Restaurants,O'Grady's Tap & Grill,2167 Victoria Park Av,
2001,Scarborough,Restaurants,Old Scott House,520 Progress Av,
2001,Scarborough,Restaurants,180 Degrees Restaurant,65 Rylander Blvd,
2001,Scarborough,Restaurants,Oriental Feast,1221 Markham Rd,
2001,Scarborough,Restaurants,P Jays Take-Out,2677 Kennedy Rd,
2001,Scarborough,Restaurants,P & L Food,4465 Sheppard Av E,
2001,Scarborough,Restaurants,Pak Centre,1079 Midland Av,pakistani
2001,Scarborough,Restaurants,Pakwanchi Restaurant,2245 Kennedy Rd,
2001,Scarborough,Restaurants,Papa Sam's Burgers,1842 Lawrence Av E,
2001,Scarborough,Restaurants,Pavilion Restaurant Bar & Club,885 Progress Av,
2001,Scarborough,Restaurants,Perfect Chinese Restaurant Ltd,4386 Sheppard Av E,
2001,Scarborough,Restaurants,Perfect Filipino Style Lechon,8 Glen Watford Dr,
2001,Scarborough,Restaurants,Peter The Fisherman,3227 Eglinton Av E,
2001,Scarborough,Restaurants,Peter's Fine Dining,5701 Hwy 7,
2001,Scarborough,Restaurants,Pho So 1 Vietnamese Restaurant,2347 Kennedy Rd,
